,gseID,journal,pubmed_id,title
639,notAvailable,Cell systems,28448794,
640,notAvailable,Cell,28431251,
641,GSE86310_GSE86306,Cell,28431249,
642,notAvailable,Cell,28431240,
643,notAvailable,Molecular cell,28431229,
644,GSE94820,"Science (New York, N.Y.)",28428369,
645,GSE96782_GSE90850_GSE90848_GSE90847,Cell,28413068,
646,notAvailable,Molecular cell,28410996,
647,notAvailable,Nature,28403137,
648,notAvailable,Nature methods,28394337,
649,notAvailable,Nature communications,28382969,
650,GSE81444_GSE80727_GSE80726_GSE80720,Cell systems,28365150,
651,notAvailable,Nature methods,28362436,
652,notAvailable,Nature cell biology,28361939,
653,notAvailable,"Science (New York, N.Y.)",28360329,
654,GSE89567,"Science (New York, N.Y.)",28360267,
655,GSE80006,Nature,28355183,
656,notAvailable,Science immunology,28345074,
657,GSE84833,Cell stem cell,28343982,
658,notAvailable,Cell systems,28342718,
659,notAvailable,Neuron,28334614,
660,notAvailable,eLife,28332977,
661,notAvailable,eLife,28323615,
662,notAvailable,Nature immunology,28323268,
663,notAvailable,Nature methods,28319112,
664,GSE75478,Nature cell biology,28319093,
665,GSE81861,Nature genetics,28319088,
666,notAvailable,Nature communications,28317845,
667,notAvailable,Nature,28297709,
668,notAvailable,eLife,28296636,
669,GSE80280,Nature,28289288,
670,GSE90856,Cell stem cell,28285904,
671,GSE93802_GSE93801_GSE93593,Neuron,28279351,
672,notAvailable,Nature methods,28263961,
673,notAvailable,Nature methods,28263960,
674,notAvailable,Nature genetics,28263318,
675,notAvailable,Nature methods,28245217,
676,notAvailable,Nature methods,28245215,
677,notAvailable,Neuron,28231464,
678,notAvailable,Science translational medicine,28228602,
679,notAvailable,Nature communications,28224990,
680,GSE89405_GSE89036,Nature immunology,28218746,
681,notAvailable,Nature communications,28218243,
682,notAvailable,Neuron,28215557,
683,GSE75790,Molecular cell,28212749,
684,GSE92300,Molecular cell,28212748,
685,GSE92495,Nature methods,28192419,
686,notAvailable,Nature genetics,28191888,
687,GSE74639,Nature communications,28181495,
688,notAvailable,Nature communications,28181481,
