,gseID,journal,pubmed_id,title
0,notAvailable,Nature genetics,31477929,
1,GSE130430,Nature communications,31477722,
2,GSE122743,Nature communications,31477698,
3,notAvailable,Cell stem cell,31474560,
4,notAvailable,Cell,31474370,
5,notAvailable,Nature methods,31471617,
6,notAvailable,Science immunology,31471352,
7,notAvailable,Nature communications,31467286,
8,notAvailable,Nature communications,31451693,
9,GSE122336,Nature communications,31444334,
10,notAvailable,Nature communications,31439836,
11,notAvailable,"Science (New York, N.Y.)",31439762,
12,notAvailable,Nature,31435019,
13,GSE109555,Nature,31435013,
14,notAvailable,Nature communications,31434891,
15,notAvailable,Nature immunology,31431722,
16,GSE125971,Nature communications,31431618,
17,notAvailable,Cell stem cell,31422913,
18,GSE126480,Nature communications,31420539,
19,GSE132950,Nature communications,31413301,
20,notAvailable,Nature communications,31413257,
21,notAvailable,Nature methods,31406385,
22,notAvailable,Nature immunology,31406377,
23,notAvailable,Nature genetics,31406346,
24,notAvailable,"Science (New York, N.Y.)",31395745,
25,notAvailable,Cancer discovery,31371323,
26,GSE131989,Nature communications,31366909,
27,GSE127832,Nature methods,31363221,
28,GSE128483,Nature immunology,31358996,
29,GSE95218,Nature communications,31358756,
30,GSE131996,Immunity,31353223,
31,GSE132923,Immunity,31350180,
32,GSE126128,Nature,31341279,
33,notAvailable,Nature medicine,31332391,
34,notAvailable,Molecular cell,31327636,
35,notAvailable,Nature communications,31324783,
36,GSE118127,Nature communications,31320652,
37,notAvailable,Nature communications,31311926,
38,GSE132026_GSE132023_GSE131841,Cell stem cell,31303547,
39,notAvailable,Neuron,31303374,
40,notAvailable,Molecular cell,31299208,
41,GSE131155,Nature,31292549,
42,notAvailable,Cell stem cell,31279774,
43,GSE124419,Nature communications,31278265,
44,GSE117826_GSE117825_GSE117824,Nature,31270458,
45,notAvailable,Nature cell biology,31263265,
46,GSE114787,Cell,31251913,
47,notAvailable,"Science (New York, N.Y.)",31249056,
48,GSE130670,Science translational medicine,31243155,
49,GSE131937_GSE131935,Immunity,31231035,
50,GSE106888,Cell stem cell,31230860,
51,notAvailable,Molecular cell,31230816,
52,notAvailable,Immunity,31216459,
53,GSE119943_GSE119942_GSE119941_GSE119940,Nature immunology,31209400,
54,GSE129150,Nature neuroscience,31209379,
55,notAvailable,Nature,31209304,
56,notAvailable,Cell,31204100,
57,notAvailable,Nature communications,31201331,
58,GSE115030_GSE114526_GSE114525_GSE85483,Immunity,31201094,
59,notAvailable,Cell,31199915,
60,GSE75111_GSE75110_GSE75109_GSE75108_GSE75107_GSE75106_GSE75105_GSE75104_GSE75103_GSE74833,Nature communications,31197158,
61,GSE129455,Cancer discovery,31197017,
62,notAvailable,Cell stem cell,31178255,
63,GSE130881,Cell systems,31176620,
64,GSE129114,"Science (New York, N.Y.)",31171666,
65,GSE130888_GSE130387,Science translational medicine,31167927,
66,GSE117498,Nature communications,31160568,
67,notAvailable,eLife,31157618,
68,GSE117309,Nature genetics,31152164,
69,notAvailable,Nature genetics,31152159,
70,notAvailable,Neuron,31147152,
71,GSE113046,Science immunology,31126997,
72,GSE118880,Cell systems,31121116,
73,notAvailable,Immunity,31103380,
74,notAvailable,Molecular cell,31101498,
75,notAvailable,"Science (New York, N.Y.)",31097661,
76,notAvailable,Nature,31092926,
77,GSE128241_GSE75931,Nature,31092920,
78,notAvailable,Nature communications,31092822,
79,GSE126042,eLife,31090537,
80,notAvailable,Cancer discovery,31088841,
81,GSE125688,Cell stem cell,31080134,
82,GSE95588,Science translational medicine,31068444,
83,notAvailable,eLife,31063131,
84,GSE128855_GSE128854_GSE128781,Nature neuroscience,31061494,
85,GSE127005_GSE126891,Science immunology,31053654,
86,notAvailable,Neuron,31053407,
87,notAvailable,Nature,31043747,
88,notAvailable,Nature,31042697,
89,notAvailable,Nature methods,31036959,
90,notAvailable,eLife,31033442,
91,GSE108679,Cell,31031009,
92,notAvailable,Cell,31031007,
93,GSE73620_GSE73546,Nature communications,31028265,
94,notAvailable,Neuron,31027966,
95,notAvailable,Cell systems,31022373,
96,GSE123516_GSE123515_GSE117783,Nature,31019301,
97,GSE115958_GSE115956_GSE115955,Nature,31019299,
98,notAvailable,Nature,31019298,
99,notAvailable,Nature biomedical engineering,31015734,
100,notAvailable,Nature communications,31015418,
101,notAvailable,Nature communications,31015402,
102,GSE119103_GSE109085,Nature communications,31015400,
103,notAvailable,Nature communications,31000703,
104,notAvailable,Nature communications,30988302,
105,GSE122871,Cell stem cell,30982771,
106,notAvailable,Cell,30982598,
107,notAvailable,Cell,30982596,
108,notAvailable,Cell,30982595,
109,GSE127465,Immunity,30979687,
110,GSE123078_GSE118436_GSE108892_GSE108891_GSE108885,Nature,30971824,
111,notAvailable,eLife,30969169,
112,GSE128066,Nature communications,30967541,
113,notAvailable,Nature biomedical engineering,30936431,
114,GSE108709,Cell stem cell,30930146,
115,notAvailable,Immunity,30926235,
116,GSE105012,Nature methods,30923384,
117,notAvailable,Nature communications,30923344,
118,GSE110878,Molecular cell,30922843,
119,notAvailable,eLife,30912746,
120,notAvailable,Nature,30911168,
121,GSE126163_GSE126120_GSE119597_GSE119594_GSE119584,Cell stem cell,30905619,
122,notAvailable,Molecular cell,30901562,
123,GSE125327_GSE125326_GSE124991,"Science (New York, N.Y.)",30898902,
124,notAvailable,"Science (New York, N.Y.)",30898901,
125,notAvailable,Nature genetics,30886424,
126,notAvailable,eLife,30883329,
127,notAvailable,Cell stem cell,30880026,
128,GSE112004,eLife,30860479,
129,GSE124031,Nature medicine,30858616,
130,GSE125065,Nature neuroscience,30858605,
131,GSE124675,Science immunology,30850393,
132,GSE126783,Immunity,30850344,
133,GSE116256,Cell,30827681,
134,GSE115626_GSE115622_GSE115600,Cell,30827680,
135,GSE122583_GSE122582_GSE118203_GSE118202_GSE115218_GSE115217_GSE115216_GSE115215_GSE115214_GSE115213_GSE115212_GSE115211_GSE115210_GSE115209_GSE115208,Cell,30827679,
136,notAvailable,Neuron,30824354,
137,GSE124872,Nature communications,30814501,
138,GSE108556,Nature genetics,30804559,
139,notAvailable,Nature neuroscience,30804530,
140,GSE122342,Cell stem cell,30799279,
141,notAvailable,Nature communications,30796217,
142,GSE119945,Nature,30787437,
143,GSE87038,Nature,30787436,
144,notAvailable,Immunity,30784578,
145,notAvailable,Nature methods,30783263,
146,notAvailable,Nature communications,30783105,
147,GSE109355,Nature,30778195,
148,GSE103221,Molecular cell,30772174,
149,GSE122198_GSE105454_GSE105452_GSE105451,Molecular cell,30765193,
150,GSE118257,Nature,30747918,
151,notAvailable,eLife,30744806,
152,notAvailable,Nature methods,30742040,
153,notAvailable,Immunity,30737144,
154,notAvailable,Cell stem cell,30735645,
155,GSE120372,eLife,30735127,
156,GSE109761,Nature,30728496,
157,GSE116138,Nature communications,30718509,
158,GSE118852_GSE118546_GSE118480,Cell,30712875,
159,GSE122662_GSE122653_GSE115943_GSE106340,Cell,30712874,
160,notAvailable,Cell,30712869,
161,notAvailable,Neuron,30709656,
162,notAvailable,Nature,30700911,
163,GSE112380,Nature communications,30700715,
164,notAvailable,Nature communications,30692544,
165,GSE130008,Nature communications,30692527,
166,notAvailable,eLife,30681408,
167,notAvailable,Nature communications,30679420,
168,GSE118948,"Science (New York, N.Y.)",30679343,
169,notAvailable,Science immunology,30679199,
170,notAvailable,Nature communications,30670690,
171,notAvailable,Nature methods,30664774,
172,notAvailable,Nature communications,30664642,
173,GSE121083,Neuron,30654924,
174,notAvailable,Nature,30651638,
175,notAvailable,Immunity,30650371,
176,GSE114005_GSE111690_GSE111664,Nature immunology,30643263,
177,notAvailable,Cell stem cell,30639035,
178,notAvailable,Cell systems,30638813,
179,notAvailable,Cell systems,30638811,
180,GSE103316_GSE103315_GSE103314,Neuron,30638744,
181,GSE121002_GSE116519_GSE116506,Immunity,30638736,
182,GSE104343,eLife,30638445,
183,GSE123335,Nature communications,30635555,
184,GSE111065,Cell,30633912,
185,GSE113937,eLife,30628888,
186,GSE114071,Nature communications,30626865,
187,GSE123030_GSE123025_GSE123024_GSE123022_GSE123021,Neuron,30606613,
188,GSE122332_GSE122331_GSE122330_GSE122329,Nature communications,30604742,
189,notAvailable,Nature,30602787,
190,notAvailable,Nature cell biology,30602765,
191,notAvailable,Cell systems,30590028,
192,notAvailable,Nature genetics,30578418,
193,GSE121393_GSE121386_GSE121287_GSE121284_GSE121267,Nature communications,30575716,
194,notAvailable,Nature methods,30573843,
195,notAvailable,Nature methods,30573817,
196,GSE114802_GSE107305_GSE99582_GSE99469_GSE99468_GSE89044_GSE88942,Nature methods,30573816,
197,GSE121599_GSE121598_GSE121597_GSE107521,Nature,30568299,
198,notAvailable,Nature communications,30560953,
199,notAvailable,eLife,30560784,
200,GSE113675,Nature methods,30559431,
201,notAvailable,Nature methods,30559429,
202,GSE121706,Molecular cell,30554946,
203,GSE111360,Cell,30550791,
204,notAvailable,eLife,30547884,
205,notAvailable,"Science (New York, N.Y.)",30545888,
206,notAvailable,"Science (New York, N.Y.)",30545857,
207,notAvailable,"Science (New York, N.Y.)",30545855,
208,GSE119355,Nature immunology,30538339,
209,notAvailable,Cell systems,30528274,
210,GSE119969_GSE119430,Cell stem cell,30526881,
211,GSE99915,Nature,30518857,
212,notAvailable,Nature methods,30504887,
213,notAvailable,Nature methods,30504886,
214,notAvailable,Cell stem cell,30503143,
215,notAvailable,Nature communications,30514897,
216,GSE121737,Nature communications,30514844,
217,notAvailable,Neuron,30497772,
218,notAvailable,Cancer discovery,30487234,
219,GSE120199,Neuron,30482691,
220,GSE118237_GSE118217,Nature communications,30479344,
221,GSE111912,Molecular cell,30472192,
222,notAvailable,Molecular cell,30472191,
223,GSE120654,Cell stem cell,30472156,
224,notAvailable,Nature communications,30459309,
225,GSE107468_GSE107467_GSE107466,Nature neuroscience,30455455,
226,GSE111546_GSE111545_GSE111543,Nature communications,30451854,
227,GSE118184,Cell stem cell,30449713,
228,notAvailable,Cell,30449622,
229,GSE119450,Cell,30449619,
230,GSE107185,Cell systems,30448000,
231,notAvailable,Science immunology,30446505,
232,notAvailable,Nature,30429548,
233,notAvailable,Nature communications,30429479,
234,notAvailable,Nature communications,30425249,
235,GSE113973,Nature medicine,30420755,
236,notAvailable,Nature cell biology,30420661,
237,GSE117763_GSE117762_GSE111136_GSE110983_GSE110982_GSE110981_GSE110980_GSE110979_GSE110978,Cell,30415840,
238,notAvailable,Nature communications,30413715,
239,GSE118924_GSE118770,Immunity,30413363,
240,notAvailable,Nature communications,30401874,
241,notAvailable,Nature,30401810,
242,GSE106510,Cell,30392957,
243,notAvailable,Neuron,30392799,
244,notAvailable,Neuron,30392798,
245,GSE112246_GSE112245_GSE112200_GSE112198_GSE112195_GSE112194_GSE112091_GSE112090_GSE112089,Nature communications,30389926,
246,GSE115978,Cell,30388455,
247,notAvailable,Cell,30388447,
248,GSE117963,Nature communications,30385745,
249,GSE113576,"Science (New York, N.Y.)",30385464,
250,notAvailable,Nature,30382219,
251,GSE119182,Nature,30382200,
252,notAvailable,Nature methods,30377364,
253,notAvailable,Nature methods,30377357,
254,GSE113069,eLife,30375971,
255,notAvailable,Nature communications,30375391,
256,notAvailable,Nature neuroscience,30349109,
257,notAvailable,Nature medicine,30349087,
258,GSE120666_GSE120665_GSE119660_GSE119659_GSE119658_GSE119656,Molecular cell,30344096,
259,notAvailable,Cell,30343902,
260,notAvailable,Nature,30333578,
261,notAvailable,Nature communications,30323295,
262,notAvailable,Cell,30318151,
263,GSE119228,Cell,30318149,
264,notAvailable,Immunity,30314756,
265,notAvailable,"Science (New York, N.Y.)",30309944,
266,GSE115798_GSE115639_GSE104995,Nature communications,30291229,
267,GSE97080,Cell stem cell,30290179,
268,notAvailable,Molecular cell,30290149,
269,GSE115098,Nature medicine,30275566,
270,GSE111831,Nature biomedical engineering,30271673,
271,GSE95459_GSE95450_GSE95446_GSE95435,Cell,30270042,
272,notAvailable,Nature communications,30266933,
273,GSE111588,eLife,30265241,
274,notAvailable,"Science (New York, N.Y.)",30262495,
275,GSE96688,Nature,30258225,
276,GSE101901,Nature communications,30254269,
277,notAvailable,Cell,30241615,
278,GSE112471,Nature communications,30237449,
279,notAvailable,Neuron,30236284,
280,GSE112731_GSE109742,Science immunology,30217811,
281,GSE117055,Nature communications,30209249,
282,notAvailable,Nature communications,30206223,
283,GSE100474,Nature communications,30202063,
284,notAvailable,Nature methods,30202060,
285,notAvailable,Nature cell biology,30202051,
286,GSE117568_GSE117567_GSE117470,Nature immunology,30201992,
287,notAvailable,Nature communications,30201954,
288,notAvailable,Cell systems,30195438,
289,notAvailable,Nature communications,30194434,
290,notAvailable,Science immunology,30194240,
291,notAvailable,Nature,30185910,
292,GSE118390_GSE118389_GSE118303,Nature communications,30181541,
293,notAvailable,Molecular cell,30174289,
294,notAvailable,Cell systems,30172840,
295,GSE117089,"Science (New York, N.Y.)",30166440,
296,notAvailable,Cell systems,30145116,
297,notAvailable,Nature medicine,30135555,
298,notAvailable,Nature communications,30135482,
299,notAvailable,Nature,30127477,
300,GSE114161,Nature communications,30127440,
301,notAvailable,Nature communications,30115907,
302,notAvailable,Nature neuroscience,30104732,
303,notAvailable,Neuron,30100256,
304,notAvailable,Neuron,30100254,
305,notAvailable,Cell stem cell,30100166,
306,notAvailable,Cell,30096314,
307,GSE116470,Cell,30096299,
308,notAvailable,"Science (New York, N.Y.)",30093597,
309,GSE115813_GSE109989_GSE102827_GSE99933_GSE92332,Nature,30089906,
310,GSE114462_GSE114461_GSE114460_GSE114459,Nature,30089904,
311,notAvailable,Nature communications,30087343,
312,GSE109828,Molecular cell,30078726,
313,notAvailable,Cell,30078711,
314,GSE114759,Cell,30078710,
315,GSE111586,Cell,30078704,
316,notAvailable,Cell systems,30077635,
317,notAvailable,Nature communications,30076296,
318,GSE116718_GSE115618,Cell stem cell,30075129,
319,GSE115331,Nature,30069052,
320,GSE102580,Nature,30069046,
321,GSE103354,Nature,30069044,
322,notAvailable,Nature communications,30069015,
323,notAvailable,Nature methods,30065381,
324,notAvailable,Nature methods,30065371,
325,notAvailable,Nature communications,30061556,
326,notAvailable,Nature cell biology,30038257,
327,GSE114988,Nature cell biology,30038251,
328,notAvailable,Cell,30033364,
329,GSE116165_GSE116163_GSE75974_GSE75973,Cell systems,30031774,
330,GSE103970_GSE103969_GSE103968_GSE103967,Nature,30022162,
331,notAvailable,Nature communications,30022070,
332,notAvailable,eLife,30020075,
333,GSE115404,Nature communications,30018341,
334,notAvailable,Nature communications,30013097,
335,notAvailable,eLife,29993362,
336,notAvailable,Nature communications,29992957,
337,notAvailable,Nature communications,29991676,
338,notAvailable,Nature communications,29985394,
339,GSE112982_GSE86495,Science immunology,29980617,
340,notAvailable,Nature,29973725,
341,GSE115007_GSE115006,Nature communications,29967419,
342,notAvailable,Nature medicine,29967347,
343,GSE93456_GSE88716,Nature biomedical engineering,29963329,
344,GSE114727_GSE114725_GSE114724,Cell,29961579,
345,GSE112642,Nature communications,29955049,
346,notAvailable,Cell systems,29953863,
347,GSE99254,Nature medicine,29942094,
348,GSE110938_GSE110686,Nature medicine,29942092,
349,notAvailable,Nature methods,29941873,
350,notAvailable,Cell stem cell,29937202,
351,notAvailable,Cell systems,29936184,
352,notAvailable,Nature communications,29934517,
353,GSE114315_GSE114314_GSE114313_GSE114312,Nature immunology,29925996,
354,GSE113112,Nature immunology,29925993,
355,notAvailable,Nature,29925944,
356,GSE107651,Nature communications,29925875,
357,notAvailable,Nature cell biology,29915360,
358,GSE113495_GSE113494_GSE92575,Nature cell biology,29915358,
359,GSE100272,Nature cell biology,29915357,
360,GSE103772_GSE103771,Cell,29909983,
361,GSE107451,Cell,29909982,
362,notAvailable,"Science (New York, N.Y.)",29903939,
363,notAvailable,Nature communications,29895867,
364,notAvailable,Cell,29887381,
365,GSE107947,Cell systems,29886109,
366,GSE107910,Immunity,29884461,
367,GSE100354,Nature communications,29875383,
368,notAvailable,eLife,29873633,
369,GSE112997,eLife,29869985,
370,notAvailable,Nature genetics,29785013,
371,notAvailable,Nature communications,29784946,
372,GSE110351_GSE109711_GSE109707_GSE109306_GSE99433,Nature cell biology,29784918,
373,notAvailable,Cell,29779947,
374,notAvailable,Cell,29779945,
375,GSE109718,Cell stem cell,29779890,
376,notAvailable,Cell,29775591,
377,notAvailable,Molecular cell,29775585,
378,notAvailable,Nature communications,29773791,
379,notAvailable,Immunity,29768164,
380,notAvailable,Nature communications,29760469,
381,notAvailable,Nature communications,29760466,
382,notAvailable,Cell,29754821,
383,notAvailable,Cell stem cell,29754780,
384,notAvailable,Cell systems,29753646,
385,notAvailable,Nature neuroscience,29752482,
386,notAvailable,Cell systems,29730254,
387,GSE111979_GSE111978_GSE111977,Cell stem cell,29727680,
388,notAvailable,Cell stem cell,29727679,
389,notAvailable,Cell stem cell,29727678,
390,GSE100320,Cell,29727663,
391,notAvailable,Nature immunology,29725080,
392,notAvailable,"Science (New York, N.Y.)",29724907,
393,notAvailable,Nature communications,29712903,
394,notAvailable,Cell,29706550,
395,notAvailable,Nature methods,29702635,
396,GSE112294,"Science (New York, N.Y.)",29700229,
397,GSE113074,"Science (New York, N.Y.)",29700227,
398,GSE112824_GSE106587_GSE106474_GSE106466,"Science (New York, N.Y.)",29700225,
399,notAvailable,eLife,29697372,
400,notAvailable,eLife,29697047,
401,notAvailable,Nature medicine,29686426,
